Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-05-27,7.44,7.5,6.5,6.7,1919200.0,0.0,1.0,7.44,7.5,6.5,6.7,1919200.0
2004-05-28,6.88,6.88,6.61,6.61,105600.0,0.0,1.0,6.88,6.88,6.61,6.61,105600.0
2004-06-01,6.59,6.71,6.4,6.5,118600.0,0.0,1.0,6.59,6.71,6.4,6.5,118600.0
2004-06-02,6.401,6.45,6.25,6.3,33000.0,0.0,1.0,6.401,6.45,6.25,6.3,33000.0
2004-06-03,6.25,6.5,6.249,6.25,30900.0,0.0,1.0,6.25,6.5,6.249,6.25,30900.0
2004-06-04,6.6,6.6,6.0,6.02,94200.0,0.0,1.0,6.6,6.6,6.0,6.02,94200.0
2004-06-07,6.102,6.299,6.0,6.1,92100.0,0.0,1.0,6.102,6.299,6.0,6.1,92100.0
2004-06-08,6.49,6.49,6.06,6.1,52100.0,0.0,1.0,6.49,6.49,6.06,6.1,52100.0
2004-06-09,6.3,6.3,5.96,5.96,48200.0,0.0,1.0,6.3,6.3,5.96,5.96,48200.0
2004-06-10,6.2,6.202,5.79,6.1,48600.0,0.0,1.0,6.2,6.202,5.79,6.1,48600.0
2004-06-14,6.15,6.23,6.05,6.2,45600.0,0.0,1.0,6.15,6.23,6.05,6.2,45600.0
2004-06-15,6.11,6.7,6.1,6.4,42900.0,0.0,1.0,6.11,6.7,6.1,6.4,42900.0
2004-06-16,6.4,6.7,6.26,6.4,24300.0,0.0,1.0,6.4,6.7,6.26,6.4,24300.0
2004-06-17,6.5,6.92,6.3,6.85,133500.0,0.0,1.0,6.5,6.92,6.3,6.85,133500.0
2004-06-18,6.95,6.95,6.51,6.62,15400.0,0.0,1.0,6.95,6.95,6.51,6.62,15400.0
2004-06-21,6.81,6.89,6.55,6.6,13700.0,0.0,1.0,6.81,6.89,6.55,6.6,13700.0
2004-06-22,6.6,6.75,6.35,6.35,16100.0,0.0,1.0,6.6,6.75,6.35,6.35,16100.0
2004-06-23,6.84,6.84,6.1,6.4,14600.0,0.0,1.0,6.84,6.84,6.1,6.4,14600.0
2004-06-24,6.25,6.3,6.01,6.2,13800.0,0.0,1.0,6.25,6.3,6.01,6.2,13800.0
2004-06-25,6.479,6.479,6.0,6.0,1700.0,0.0,1.0,6.479,6.479,6.0,6.0,1700.0
2004-06-28,6.44,6.44,5.99,6.15,8100.0,0.0,1.0,6.44,6.44,5.99,6.15,8100.0
2004-06-29,6.398,6.499,6.18,6.27,11500.0,0.0,1.0,6.398,6.499,6.18,6.27,11500.0
2004-06-30,6.27,6.27,6.13,6.2,3500.0,0.0,1.0,6.27,6.27,6.13,6.2,3500.0
2004-07-01,6.32,6.39,6.25,6.3,3100.0,0.0,1.0,6.32,6.39,6.25,6.3,3100.0
