Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,256.98,257.0,255.1,256.5,1301060.0,0.0,1.0,250.29453428738776,250.31401397719142,248.46344344584253,249.8270217320996,1301060.0
2017-12-27,257.98,257.98,255.52,255.95,1567928.0,0.0,1.0,251.2685187775714,251.2685187775714,248.87251693171967,249.2913302624986,1567928.0
2017-12-26,258.19,259.2,256.0,257.72,1289310.0,0.0,1.0,251.47305552050994,252.45677985559539,249.3400294870078,251.01528281012367,1289310.0
2017-12-22,260.355,262.1363,257.72,258.97,2096161.0,0.0,1.0,253.5817319417575,255.31669051412158,251.01528281012367,252.2327634228532,2096161.0
2017-12-21,256.38,262.09,256.28,261.01,3336789.0,0.0,1.0,249.71014359327756,255.27159503222603,249.61274514425918,254.21969178282774,3336789.0
2017-12-20,258.385,259.09,254.55,255.18,2050584.0,0.0,1.0,251.66298249609574,252.34964156167518,247.92775197624155,248.54136220505723,2050584.0
2017-12-19,260.8,261.8,256.18,256.48,2194751.0,0.0,1.0,254.0151550398892,254.98913953007283,249.51534669524085,249.80754204229595,2194751.0
2017-12-18,260.5,262.0,259.16,260.02,2575083.0,0.0,1.0,253.7229596928341,255.18393642810955,252.41782047598807,253.25544713754596,2575083.0
2017-12-15,256.7,258.97,254.76,257.17,5280749.0,0.0,1.0,250.02181863013632,252.2327634228532,248.13228871918008,250.47959134052266,5280749.0
2017-12-14,256.77,259.55,255.48,255.48,3353191.0,0.0,1.0,250.08999754444918,252.79767442715968,248.8335575521123,248.8335575521123,3353191.0
2017-12-13,257.81,260.5,255.56,255.56,3482131.0,0.0,1.0,251.10294141424015,253.7229596928341,248.911476311327,248.911476311327,3482131.0
2017-12-12,250.81,258.2,250.685,257.68,3455697.0,0.0,1.0,244.2850499829548,251.48279536541176,244.16330192168184,250.9763234305163,3455697.0
2017-12-11,250.0,251.4,248.76,250.13,1494228.0,0.0,1.0,243.49612254590605,244.85970083216313,242.28838177807836,243.6227405296299,1494228.0
2017-12-08,250.5,250.68,247.2,250.35,1958961.0,0.0,1.0,243.98311479099786,244.1584319992309,240.7689659733919,243.8370171174703,1958961.0
2017-12-07,244.62,249.48,244.4,248.56,2666379.0,0.0,1.0,238.25608598871816,242.98965061101055,238.04180940087775,242.09358488004165,2666379.0
2017-12-06,247.23,248.075,245.13,245.95,2330322.0,0.0,1.0,240.7981855080974,241.62120240230257,238.7528180787118,239.55148536066235,2330322.0
2017-12-05,250.8,251.35,247.41,248.33,2525950.0,0.0,1.0,244.27531013805296,244.81100160765394,240.97350271633047,241.8695684472994,2525950.0
2017-12-04,254.89,254.9,250.01,250.65,3313305.0,0.0,1.0,248.25890670290397,248.26864654780582,243.5058623908079,244.1292124645254,3313305.0
2017-12-01,249.78,250.68,244.01,248.95,4764988.0,0.0,1.0,243.28184595806565,244.1584319992309,237.66195544970614,242.47343883121323,4764988.0
2017-11-30,244.07,250.79,244.0,247.64,6362854.0,0.0,1.0,237.72039451911715,244.26557029315111,237.6522156048043,241.1975191490727,6362854.0
2017-11-29,241.25,244.47,240.4,241.36,4499247.0,0.75,1.0,234.97375825679933,238.1099883151906,234.14587144014325,235.08089655071956,4499247.0
2017-11-28,236.09,240.0,234.33,239.41,3212932.0,0.0,1.0,229.23567331650645,233.032155516801,227.5267708427166,232.45928480115552,3212932.0
2017-11-27,235.75,236.88,234.8,235.11,1999613.0,0.0,1.0,228.90554442952433,230.00273749508258,227.98312548060366,228.2841253481462,1999613.0
2017-11-24,237.42,238.56,235.55,235.95,1268608.0,0.0,1.0,230.5270598449954,231.6339625837002,228.71135096659367,229.09973789245498,1268608.0
2017-11-22,237.94,238.95,236.36,236.43,2177129.0,0.0,1.0,231.03196284861514,232.012639836415,229.49783449146287,229.5658022034886,2177129.0
2017-11-21,239.41,239.59,237.54,238.02,2223817.0,0.0,1.0,232.45928480115552,232.63405891779314,230.6435759227538,231.10964023378742,2223817.0
2017-11-20,238.78,238.78,237.11,238.13,2000660.0,0.0,1.0,231.84757539292394,231.84757539292394,230.22605997745288,231.21644663839925,2000660.0
2017-11-17,238.86,239.08,237.12,238.02,2826279.0,0.0,1.0,231.92525277809622,232.13886558731994,230.2357696505994,231.10964023378742,2826279.0
2017-11-16,238.38,240.69,238.2,239.37,2304276.0,0.0,1.0,231.4591884670626,233.70212296391182,231.28441435042498,232.4204461085694,2304276.0
2017-11-15,234.97,238.15,233.55,237.61,2564130.0,0.0,1.0,228.1481899240947,231.23586598469234,226.769416337287,230.71154363477953,2564130.0
2017-11-14,239.65,240.88,235.63,237.24,2999674.0,0.0,1.0,232.69231695667233,233.88660675369593,228.78902835176592,230.3522857283578,2999674.0
2017-11-13,237.97,240.9,237.16,240.27,1953911.0,0.0,1.0,231.06109186805472,233.90602609998902,230.27460834318552,233.29431669175742,1953911.0
2017-11-10,241.69,243.32,240.0,240.15,1845319.0,0.0,1.0,234.67309027856516,236.25576700145007,233.032155516801,233.177800613999,1845319.0
2017-11-09,239.51,242.367,237.84,240.79,2122505.0,0.0,1.0,232.55638153262086,235.33043515058546,230.9348661171498,233.79921969537713,2122505.0
2017-11-08,239.2,242.32,237.55,241.25,2347205.0,0.0,1.0,232.25538166507832,235.28479968679673,230.65328559590034,234.2458646601177,2347205.0
2017-11-07,243.91,244.98,238.84,239.81,2483904.0,0.0,1.0,236.82863771709555,237.86757274377462,231.90583343180313,232.84767172701686,2483904.0
2017-11-06,243.5,244.579,241.67,243.49,1744619.0,0.0,1.0,236.4305411180877,237.47821485059865,234.65367093227206,236.42083144494117,1744619.0
2017-11-03,245.37,246.28,243.19,244.4,1954148.0,0.0,1.0,238.24624999648944,239.12983025282398,236.12954125054515,237.30441170127568,1954148.0
2017-11-02,244.69,247.74,243.38,246.88,2508272.0,0.0,1.0,237.58599222252516,240.54744253221784,236.31402504032928,239.71241064161597,2508272.0
2017-11-01,243.89,247.4,242.91,244.26,2969572.0,0.0,1.0,236.80921837080248,240.21731364523572,235.8576704024422,237.16847627722422,2969572.0
2017-10-31,240.68,244.18,240.63,242.48,2658731.0,0.0,1.0,233.69241329076527,237.09079889205196,233.6438649250326,235.44015445714126,2658731.0
2017-10-30,240.1,242.59,239.53,240.89,1764451.0,0.0,1.0,233.12925224826634,235.54696086175315,232.57580087891392,233.89631642684247,1764451.0
2017-10-27,240.85,242.44,239.67,241.71,2111903.0,0.0,1.0,233.85747773425635,235.40131576455514,232.7117363029654,234.69250962485822,2111903.0
2017-10-26,242.61,244.0,241.53,241.72,1948670.0,0.0,1.0,235.56638020804624,236.91602477541434,234.51773550822062,234.70221929800474,1948670.0
2017-10-25,246.16,246.5,240.8,241.74,2568583.0,0.0,1.0,239.01331417506557,239.3434430620477,233.80892936852368,234.72163864429783,2568583.0
2017-10-24,243.6,246.25,243.0,244.84,2284938.0,0.0,1.0,236.527637849553,239.10070123338437,235.945057460761,237.73163731972315,2284938.0
2017-10-23,244.39,245.33,241.381,242.13,1963295.0,0.0,1.0,237.29470202812914,238.2074113039033,234.37306137833727,235.10031589701262,1963295.0
2017-10-20,242.95,245.25,240.67,244.73,3022769.0,0.0,1.0,235.89650909502834,238.12973391873103,233.68270361761873,237.6248309151113,3022769.0
2017-10-19,240.35,240.99,238.1,239.99,2710675.0,0.0,1.0,233.37199407692967,233.99341315830782,231.18731761895967,233.02244584365448,2710675.0
2017-10-18,236.87,242.65,236.87,242.03,4235853.0,0.0,1.0,229.99302782193607,235.60521890063237,229.99302782193607,235.00321916554728,4235853.0
2017-10-17,244.44,244.89,235.19,236.09,7085825.0,0.0,1.0,237.3432503938618,237.78018568545582,228.36180273331846,229.23567331650645,7085825.0
2017-10-16,238.6,242.76,238.35,242.41,2969192.0,0.0,1.0,231.67280127628632,235.7120253052442,231.430059447623,235.37218674511556,2969192.0
2017-10-13,239.0,239.45,236.84,238.53,2490544.0,0.0,1.0,232.06118820214766,232.49812349374164,229.96389880249646,231.6048335642606,2490544.0
